Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
"Micronesia, Fed. Sts.",FSM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2.1
"Micronesia, Fed. Sts.",FSM,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,..
Mongolia,MNG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3
Mongolia,MNG,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,13.3471
Myanmar,MMR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,62.9
Myanmar,MMR,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,8.2233
Nepal,NPL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,73.7
Nepal,NPL,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,0
Pakistan,PAK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,41.6
Pakistan,PAK,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,58.2926
Papua New Guinea,PNG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,54.5
Papua New Guinea,PNG,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,1.1698
Philippines,PHL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,28
Philippines,PHL,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,76.3604
Samoa,WSM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,36
Samoa,WSM,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,0.086
Solomon Islands,SLB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,49.1
Solomon Islands,SLB,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,0.0768
Sri Lanka,LKA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,48.8
Sri Lanka,LKA,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,9.203
Tajikistan,TJK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.9
Tajikistan,TJK,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,2.2714
Tonga,TON,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.8
Tonga,TON,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,0.0404
Tuvalu,TUV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,5
Tuvalu,TUV,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,..
Uzbekistan,UZB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1
Uzbekistan,UZB,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,40.3284
Viet Nam,VNM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,24.2
Viet Nam,VNM,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,146.4912
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Aggregation method,Development relevance,Limitations and exceptions,License URL
EG.FEC.RNEW.ZS,CC BY-4.0,Renewable energy consumption (% of total final energy consumption),Renewable energy consumption is the share of renewables energy in total final energy consumption.,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).",Environment: Energy production & use,,,Annual,Weighted average,,,https://datacatalog.worldbank.org/public-licenses#cc-by
EN.GHG.CO2.PI.MT.CE.AR5,CC BY-4.7,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),"A measure of annual emissions of carbon dioxide (CO2), one of the six Kyoto greenhouse gases (GHG), from electricity and heat generation (subsector of the energy sector) including IPCC 2006 code 1.A.1.a. The measure is standardized to carbon dioxide equivalent values using the Global Warming Potential (GWP) factors of IPCC's 5th Assessment Report (AR5).","EDGAR (Emissions Database for Global Atmospheric Research) Community GHG Database, a collaboration between the European Commission, Joint Research Centre (JRC), the International Energy Agency (IEA), and comprising IEA-EDGAR CO2, EDGAR CH4, EDGAR N2O, EDGAR F-GASES version 8.0, (2023) European Commission, JRC (Datasets). https://edgar.jrc.ec.europa.eu/dataset_ghg77",,WDI,Mt CO2eq,Annual,Sum,"Anthropogenic (human-caused) emissions of global greenhouse gases, including carbon dioxide (CO2), methane (CH4), nitrous oxide (NO2) and F-gases, lead to an increase of the concentration of greenhouse gases in the atmosphere, which in turn causes atmospheric warming by trapping heat in the atmosphere (greenhouse gas effect). Atmospheric warming leads to climatic changes causing more frequent and extreme weather events and higher temperatures globally, leading to large impacts across the globe and particularly in developing countries that often have a limited means to adapt and build resilience. The international scientific community has warned that emissions need to decline to net zero by the middle of the 21st century to limit global warming to well below a 2deg C increase and help avoid the most consequential climate change impacts. 

Climate change is having a disproportionate impact on developing countries and if unabated will not only reverse past development progress and hinder poverty reduction but will also make future development more costly. Country level assessments of the potential climate change impacts on specific developing countries, performed as part of the World Bank’s Country Climate and Development Reports (CCDRs), show that climate change will have a significant impact on developing countries’ economies, ranging from about 0.5% of GDP for higher income developing countries to over 13% for the lowest income developing countries. The costs of partial adaptation to these changes will be significant as well -- ranging between 1 and 10% of developing countries’ GDP.","Global GHG emissions are currently not directly measurable, but approaches for their estimation exist, and numerous sources exist to supply data for this indicator. Reputable scientific organizations produce these data for use for research, policy analysis, climate negotiations, and broader public communications. The estimated accuracy from fossil fuel combustion and industrial processes are quite high, as quantities of fossil fuels and other emissive materials (such as cement and steel) produced are well known. For these sectors, emissions estimates are roughly accurate to within 10% when aggregated to the global level and between 4% and 35% at the country level (Crippa et al., 2023). For non- combustion and non- industrial process emissions, the accuracy is lower. Agricultural emissions, for example, depend upon many factors including the type of crops grown and livestock raised, specific agricultural practices, and other climate and non-climate factors. For these emissions, the accuracy is lower—around 30% for CH4 and fluorinated gases (HFCs, PFCs, and SF6).",https://datacatalog.worldbank.org/public-licenses#cc-by
